step,li_err, learning_rate, time_train, time_mc  
 5000, 0.2613668441772461, 0.009999999776482582, 92.60606122016907, 0.525892972946167
10000, 0.4366340637207031, 0.009999999776482582, 89.46329736709595, 0.3713362216949463
15000, 0.3549528121948242, 0.009999999776482582, 89.48579931259155, 0.37017202377319336
20000, 0.1269550323486328, 0.009999999776482582, 89.57200241088867, 0.37105345726013184
25000, 0.18102455139160156, 0.009999999776482582, 89.51845598220825, 0.3706846237182617
30000, 0.3735466003417969, 0.009999999776482582, 89.50386548042297, 0.3703784942626953
35000, 2.853372573852539, 0.009999999776482582, 89.5589210987091, 0.37094545364379883
40000, 0.28374290466308594, 0.0010000000474974513, 89.23244619369507, 0.37069201469421387
45000, 0.29157447814941406, 0.0010000000474974513, 89.4480528831482, 0.37156152725219727
50000, 0.15589332580566406, 0.0010000000474974513, 89.97731399536133, 0.37199902534484863
55000, 0.11282539367675781, 0.0010000000474974513, 89.69030666351318, 0.3705732822418213
60000, 0.19563674926757812, 0.0010000000474974513, 89.43422651290894, 0.3694930076599121
65000, 0.28948020935058594, 0.0010000000474974513, 89.64078950881958, 0.3706214427947998
70000, 0.21521949768066406, 0.0010000000474974513, 89.31389689445496, 0.37038087844848633
75000, 0.09223175048828125, 0.0010000000474974513, 89.47510886192322, 0.36664795875549316
80000, 0.4157905578613281, 0.00010000000474974513, 89.2800121307373, 0.37118959426879883
85000, 0.03847694396972656, 0.00010000000474974513, 89.37572479248047, 0.37096738815307617
90000, 0.041588783264160156, 0.00010000000474974513, 89.13193774223328, 0.3721580505371094
95000, 0.027561187744140625, 0.00010000000474974513, 89.3358805179596, 0.37084412574768066
100000, 0.03557610511779785, 0.00010000000474974513, 89.52129244804382, 0.3672661781311035
105000, 0.04362773895263672, 0.00010000000474974513, 89.84476351737976, 0.3661787509918213
110000, 0.05476093292236328, 0.00010000000474974513, 89.54453539848328, 0.37007689476013184
115000, 0.033562660217285156, 0.00010000000474974513, 89.91739916801453, 0.37160539627075195
120000, 0.06233787536621094, 1.0000000656873453e-05, 90.50298476219177, 0.37453675270080566
125000, 0.025032997131347656, 1.0000000656873453e-05, 90.33865857124329, 0.3715806007385254
130000, 0.028842926025390625, 1.0000000656873453e-05, 89.65102243423462, 0.3715202808380127
135000, 0.0218505859375, 1.0000000656873453e-05, 89.53774213790894, 0.37041687965393066
140000, 0.029714584350585938, 1.0000000656873453e-05, 89.51989674568176, 0.37099766731262207
145000, 0.029784202575683594, 1.0000000656873453e-05, 89.15289044380188, 0.3708078861236572
150000, 0.02404022216796875, 1.0000000656873453e-05, 89.19114542007446, 0.36606645584106445
