step,li_err, learning_rate, time_train, time_mc  
 5000, 0.4253978729248047, 0.009999999776482582, 101.11214137077332, 0.5616958141326904
10000, 0.3147401809692383, 0.009999999776482582, 94.524822473526, 0.3710322380065918
15000, 0.47833728790283203, 0.009999999776482582, 95.73399710655212, 0.37865352630615234
20000, 0.26413536071777344, 0.009999999776482582, 95.66927218437195, 0.3823435306549072
25000, 1.1210269927978516, 0.009999999776482582, 95.78509259223938, 0.3752017021179199
30000, 1.8627090454101562, 0.009999999776482582, 95.3979218006134, 0.37154102325439453
35000, 0.6042938232421875, 0.009999999776482582, 94.77101826667786, 0.3708004951477051
40000, 2.218149185180664, 0.0010000000474974513, 94.72414684295654, 0.3733088970184326
45000, 0.4403800964355469, 0.0010000000474974513, 94.63575768470764, 0.37374424934387207
50000, 0.08403396606445312, 0.0010000000474974513, 95.04811978340149, 0.3740549087524414
55000, 0.1526165008544922, 0.0010000000474974513, 94.763019323349, 0.3706691265106201
60000, 0.21502685546875, 0.0010000000474974513, 94.89306998252869, 0.3721892833709717
65000, 0.4805278778076172, 0.0010000000474974513, 94.91134786605835, 0.37137579917907715
70000, 0.1766071319580078, 0.0010000000474974513, 93.56218576431274, 0.37176060676574707
75000, 0.5917129516601562, 0.0010000000474974513, 92.0782904624939, 0.3704509735107422
80000, 0.129349946975708, 0.00010000000474974513, 92.5859203338623, 0.3713092803955078
85000, 0.04039883613586426, 0.00010000000474974513, 91.91613030433655, 0.37459540367126465
90000, 0.07185173034667969, 0.00010000000474974513, 91.91198825836182, 0.3728499412536621
95000, 0.05069923400878906, 0.00010000000474974513, 91.60578560829163, 0.3721768856048584
100000, 0.02725982666015625, 0.00010000000474974513, 92.0784318447113, 0.37359619140625
105000, 0.05241203308105469, 0.00010000000474974513, 91.68689298629761, 0.37770771980285645
110000, 0.054904937744140625, 0.00010000000474974513, 91.91365694999695, 0.3670616149902344
115000, 0.10407066345214844, 0.00010000000474974513, 92.10315775871277, 0.3706073760986328
120000, 0.03494453430175781, 1.0000000656873453e-05, 92.44097709655762, 0.3667323589324951
125000, 0.02726459503173828, 1.0000000656873453e-05, 92.97174263000488, 0.3673255443572998
130000, 0.018131256103515625, 1.0000000656873453e-05, 92.37345170974731, 0.3685879707336426
135000, 0.017136573791503906, 1.0000000656873453e-05, 92.7926778793335, 0.3685441017150879
140000, 0.01608431339263916, 1.0000000656873453e-05, 92.33302807807922, 0.3702402114868164
145000, 0.018980026245117188, 1.0000000656873453e-05, 92.22028756141663, 0.3693225383758545
150000, 0.017181992530822754, 1.0000000656873453e-05, 91.98067498207092, 0.3654179573059082
