x,CDF(x)
-3.9993,3.17650542596057e-05
-3.9992,3.17784774878424e-05
-3.9991,3.179190608537e-05
-3.999,3.18053400542021e-05
-3.9989,3.18187793963526e-05
-3.9988,3.18322241138364e-05
-3.9987,3.18456742086688e-05
-3.9986,3.18591296828661e-05
-3.9985,3.18725905384451e-05
-3.9984,3.18860567774235e-05
-3.9983,3.18995284018193e-05
-3.9982,3.19130054136518e-05
-3.9981,3.19264878149405e-05
-3.998,3.19399756077057e-05
-3.9979,3.19534687939686e-05
-3.9978,3.19669673757507e-05
-3.9977,3.19804713550749e-05
-3.9976,3.1993980733964e-05
-3.9975,3.2007495514442e-05
-3.9974,3.20210156985335e-05
-3.9973,3.20345412882637e-05
-3.9972,3.20480722856587e-05
-3.9971,3.20616086927451e-05
-3.997,3.207515051155e-05
-3.9969,3.2088697744102e-05
-3.9968,3.21022503924296e-05
-3.9967,3.21158084585622e-05
-3.9966,3.21293719445301e-05
-3.9965,3.21429408523642e-05
-3.9964,3.21565151840961e-05
-3.9963,3.21700949417581e-05
-3.9962,3.2183680127383e-05
-3.9961,3.21972707430048e-05
-3.996,3.22108667906578e-05
-3.9959,3.2224468272377e-05
-3.9958,3.22380751901984e-05
-3.9957,3.22516875461583e-05
-3.9956,3.22653053422943e-05
-3.9955,3.22789285806439e-05
-3.9954,3.22925572632459e-05
-3.9953,3.23061913921398e-05
-3.9952,3.23198309693654e-05
-3.9951,3.23334759969637e-05
-3.995,3.23471264769761e-05
-3.9949,3.23607824114445e-05
-3.9948,3.23744438024122e-05
-3.9947,3.23881106519224e-05
-3.9946,3.24017829620197e-05
-3.9945,3.24154607347489e-05
-3.9944,3.24291439721558e-05
-3.9943,3.24428326762867e-05
-3.9942,3.2456526849189e-05
-3.9941,3.24702264929101e-05
-3.994,3.2483931609499e-05
-3.9939,3.24976422010046e-05
-3.9938,3.2511358269477e-05
-3.9937,3.2525079816967e-05
-3.9936,3.25388068455256e-05
-3.9935,3.25525393572053e-05
-3.9934,3.25662773540586e-05
-3.9933,3.25800208381392e-05
