step,li_err, learning_rate, time_train, time_mc  
 5000, 0.12328720092773438, 0.009999999776482582, 302.00995898246765, 3.2280375957489014
10000, 0.28377342224121094, 0.009999999776482582, 295.37812209129333, 2.0266683101654053
15000, 0.1843242645263672, 0.009999999776482582, 215.26303505897522, 2.02970027923584
20000, 0.2798900604248047, 0.009999999776482582, 147.50335240364075, 2.032273054122925
25000, 0.1871938705444336, 0.009999999776482582, 118.99139451980591, 2.0279762744903564
30000, 0.2288961410522461, 0.009999999776482582, 118.64481449127197, 2.028346538543701
35000, 0.4054092764854431, 0.009999999776482582, 118.56838703155518, 2.0265722274780273
40000, 0.3971672058105469, 0.0010000000474974513, 118.61041498184204, 2.0300700664520264
45000, 0.1157684326171875, 0.0010000000474974513, 118.66378593444824, 2.0284945964813232
50000, 0.09400993585586548, 0.0010000000474974513, 118.6260507106781, 2.032245397567749
55000, 0.039825439453125, 0.0010000000474974513, 118.62120938301086, 2.0275726318359375
60000, 0.0790853500366211, 0.0010000000474974513, 118.50227761268616, 2.0292742252349854
65000, 0.07437896728515625, 0.0010000000474974513, 118.56039428710938, 2.0261826515197754
70000, 0.0906219482421875, 0.0010000000474974513, 118.53330945968628, 2.025063991546631
75000, 0.06472110748291016, 0.0010000000474974513, 118.80796694755554, 2.031761884689331
80000, 0.04964339733123779, 0.00010000000474974513, 119.08641648292542, 2.0281248092651367
85000, 0.03254890441894531, 0.00010000000474974513, 118.78605461120605, 2.0304131507873535
90000, 0.02243804931640625, 0.00010000000474974513, 118.67330884933472, 2.027059316635132
95000, 0.03000354766845703, 0.00010000000474974513, 118.64053058624268, 2.031510591506958
100000, 0.019094347953796387, 0.00010000000474974513, 118.65614771842957, 2.0293123722076416
105000, 0.028863906860351562, 0.00010000000474974513, 118.66268014907837, 2.0272295475006104
110000, 0.027790069580078125, 0.00010000000474974513, 118.70704483985901, 2.0302510261535645
115000, 0.03814888000488281, 0.00010000000474974513, 118.65257167816162, 2.0269558429718018
120000, 0.015550613403320312, 1.0000000656873453e-05, 118.63344717025757, 2.030748128890991
125000, 0.021009445190429688, 1.0000000656873453e-05, 118.63871932029724, 2.028151512145996
130000, 0.020608901977539062, 1.0000000656873453e-05, 118.80701041221619, 2.0285394191741943
135000, 0.02222919464111328, 1.0000000656873453e-05, 118.74204397201538, 2.028346300125122
140000, 0.02369976043701172, 1.0000000656873453e-05, 118.65814208984375, 2.0281827449798584
145000, 0.020501136779785156, 1.0000000656873453e-05, 118.81106877326965, 2.031677007675171
150000, 0.021353721618652344, 1.0000000656873453e-05, 118.75375556945801, 2.0268051624298096
