step,li_err, learning_rate, time_train, time_mc  
 5000, 0.3425865173339844, 0.009999999776482582, 275.7672233581543, 3.1805551052093506
10000, 0.25606441497802734, 0.009999999776482582, 268.0410943031311, 2.0265204906463623
15000, 0.1754446029663086, 0.009999999776482582, 268.4264073371887, 2.029808521270752
20000, 0.33332204818725586, 0.009999999776482582, 268.22141790390015, 2.0264010429382324
25000, 0.7196102142333984, 0.009999999776482582, 268.21285247802734, 2.0260825157165527
30000, 1.1354084014892578, 0.009999999776482582, 268.5377905368805, 2.02718448638916
35000, 0.7365589141845703, 0.009999999776482582, 268.45452857017517, 2.023655414581299
40000, 0.833012580871582, 0.0010000000474974513, 267.05744528770447, 2.026294231414795
45000, 0.15891456604003906, 0.0010000000474974513, 267.35750246047974, 2.027987241744995
50000, 0.08059453964233398, 0.0010000000474974513, 267.61061787605286, 2.0259933471679688
55000, 0.45489501953125, 0.0010000000474974513, 267.7170262336731, 2.0279552936553955
60000, 0.18318557739257812, 0.0010000000474974513, 268.9927444458008, 2.027573823928833
65000, 0.11685752868652344, 0.0010000000474974513, 268.4690978527069, 2.0271286964416504
70000, 0.14778518676757812, 0.0010000000474974513, 268.46732783317566, 2.0276710987091064
75000, 0.11238479614257812, 0.0010000000474974513, 268.94831347465515, 2.0274670124053955
80000, 0.12562942504882812, 0.00010000000474974513, 268.2158315181732, 2.0313236713409424
85000, 0.041675567626953125, 0.00010000000474974513, 268.0992798805237, 2.0270891189575195
90000, 0.03115558624267578, 0.00010000000474974513, 268.4242765903473, 2.027052164077759
95000, 0.026396751403808594, 0.00010000000474974513, 267.33480310440063, 2.0268075466156006
100000, 0.05378437042236328, 0.00010000000474974513, 268.4120352268219, 2.0347230434417725
105000, 0.033740997314453125, 0.00010000000474974513, 266.9696660041809, 2.023986339569092
110000, 0.04339027404785156, 0.00010000000474974513, 267.0707881450653, 2.024942636489868
115000, 0.03560161590576172, 0.00010000000474974513, 269.0869240760803, 2.0272879600524902
120000, 0.045787811279296875, 1.0000000656873453e-05, 270.02268624305725, 2.026599407196045
125000, 0.03145027160644531, 1.0000000656873453e-05, 269.65524911880493, 2.027255058288574
130000, 0.027962684631347656, 1.0000000656873453e-05, 269.6815984249115, 2.0251173973083496
135000, 0.044338226318359375, 1.0000000656873453e-05, 267.94384026527405, 2.02417254447937
140000, 0.026595115661621094, 1.0000000656873453e-05, 267.59446811676025, 2.028726577758789
145000, 0.0367279052734375, 1.0000000656873453e-05, 267.76505851745605, 2.0244829654693604
150000, 0.028453826904296875, 1.0000000656873453e-05, 268.0833351612091, 2.0257999897003174
