step,li_err, learning_rate, time_train, time_mc  
 5000, 0.3928356170654297, 0.009999999776482582, 91.78888487815857, 0.5398917198181152
10000, 0.3833169937133789, 0.009999999776482582, 91.50001335144043, 0.37249135971069336
15000, 0.3410196304321289, 0.009999999776482582, 90.05763959884644, 0.3734455108642578
20000, 0.39310264587402344, 0.009999999776482582, 90.27937126159668, 0.37134742736816406
25000, 0.5248517990112305, 0.009999999776482582, 89.27446961402893, 0.3691563606262207
30000, 0.6637706756591797, 0.009999999776482582, 89.56505584716797, 0.37111806869506836
35000, 3.3320064544677734, 0.009999999776482582, 89.38376474380493, 0.37090539932250977
40000, 0.6577272415161133, 0.0010000000474974513, 89.21977972984314, 0.3711819648742676
45000, 0.04604911804199219, 0.0010000000474974513, 89.53252172470093, 0.36698389053344727
50000, 0.2079930305480957, 0.0010000000474974513, 89.41413497924805, 0.3710474967956543
55000, 0.22395598888397217, 0.0010000000474974513, 89.09978294372559, 0.370556116104126
60000, 0.5170974731445312, 0.0010000000474974513, 89.33235383033752, 0.3706183433532715
65000, 0.12267112731933594, 0.0010000000474974513, 89.05577230453491, 0.37682247161865234
70000, 0.20016098022460938, 0.0010000000474974513, 89.33464193344116, 0.3704981803894043
75000, 0.27346038818359375, 0.0010000000474974513, 89.42234301567078, 0.3719673156738281
80000, 0.2594575881958008, 0.00010000000474974513, 89.60173630714417, 0.3728504180908203
85000, 0.026828765869140625, 0.00010000000474974513, 88.99945831298828, 0.3698563575744629
90000, 0.04542255401611328, 0.00010000000474974513, 90.62337303161621, 0.36713647842407227
95000, 0.03001880645751953, 0.00010000000474974513, 94.51618719100952, 0.37186455726623535
100000, 0.042659759521484375, 0.00010000000474974513, 93.60418725013733, 0.3798346519470215
105000, 0.023965835571289062, 0.00010000000474974513, 92.1717619895935, 0.37070775032043457
110000, 0.03061199188232422, 0.00010000000474974513, 91.19118142127991, 0.3680722713470459
115000, 0.03378486633300781, 0.00010000000474974513, 89.21133184432983, 0.37010836601257324
120000, 0.0610504150390625, 1.0000000656873453e-05, 89.2037980556488, 0.3712747097015381
125000, 0.030046463012695312, 1.0000000656873453e-05, 89.34796023368835, 0.36700963973999023
130000, 0.020064353942871094, 1.0000000656873453e-05, 88.94191765785217, 0.366046667098999
135000, 0.02626323699951172, 1.0000000656873453e-05, 88.49764609336853, 0.36935973167419434
140000, 0.020610809326171875, 1.0000000656873453e-05, 88.4105954170227, 0.3742334842681885
145000, 0.01902484893798828, 1.0000000656873453e-05, 88.67390871047974, 0.36988115310668945
150000, 0.020708084106445312, 1.0000000656873453e-05, 88.56352114677429, 0.36535191535949707
